,PeopleInHousehold,MetroAreaCode,Age,Hispanic,CountryOfBirthCode,Region_num,State_num,Married_num,Sex_num,Education_num,Race_num,Citizenship_num,EmploymentStatus_num,Industry_num
83,5,13820.0,41,0,57,2.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,4.0
87,1,33660.0,30,0,57,2.0,0.0,2.0,1.0,7.0,5.0,0.0,1.0,9.0
88,1,33660.0,35,0,57,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,12.0
92,2,13820.0,25,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,3.0
93,2,13820.0,31,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,3.0
94,2,13820.0,22,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,6.0
95,2,13820.0,24,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,3.0
98,2,26620.0,20,0,57,2.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,6.0
101,1,26620.0,27,0,57,2.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,12.0
103,4,13820.0,50,0,57,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0
108,2,33860.0,41,0,57,2.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,7.0
109,1,33660.0,40,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,10.0
112,2,33660.0,38,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,3.0
113,2,33660.0,35,0,57,2.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,3.0
115,2,33860.0,62,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0
121,3,33860.0,28,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0
122,3,33860.0,29,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,11.0
124,4,33860.0,66,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,10.0
125,4,33860.0,67,0,57,2.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,10.0
126,4,33860.0,37,0,57,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,10.0
127,4,33860.0,42,0,57,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,5.0
129,2,33860.0,42,0,57,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0
130,1,13820.0,22,0,57,2.0,0.0,2.0,1.0,7.0,5.0,0.0,1.0,3.0
131,1,33660.0,28,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,2.0
139,5,13820.0,63,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0
140,5,13820.0,30,0,57,2.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,4.0
146,2,13820.0,40,0,57,2.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,3.0
147,3,33660.0,30,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,12.0
148,3,33660.0,29,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,12.0
150,2,13820.0,43,0,57,2.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,10.0
151,2,13820.0,48,0,57,2.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,3.0
152,2,33660.0,24,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,12.0
153,2,33660.0,27,0,57,2.0,0.0,2.0,1.0,7.0,5.0,0.0,1.0,12.0
156,2,13820.0,29,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,6.0
157,2,13820.0,26,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,12.0
159,3,13820.0,35,0,57,2.0,0.0,2.0,1.0,5.0,5.0,0.0,4.0,6.0
160,3,13820.0,42,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,4.0,12.0
164,3,26620.0,48,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,11.0
165,3,26620.0,49,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,11.0
166,3,26620.0,21,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,6.0
168,2,13820.0,41,0,57,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0
170,1,13820.0,53,0,57,2.0,0.0,2.0,1.0,3.0,5.0,0.0,4.0,12.0
171,1,13820.0,24,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,9.0
172,2,13820.0,47,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0
173,2,13820.0,46,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,8.0
174,1,26620.0,27,0,57,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,10.0
175,1,33660.0,57,0,57,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0
176,1,13820.0,34,0,57,2.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,12.0
177,3,33660.0,64,0,57,2.0,0.0,4.0,1.0,1.0,5.0,0.0,1.0,2.0
182,2,33860.0,73,0,57,2.0,0.0,3.0,1.0,3.0,2.0,0.0,4.0,10.0
183,2,33860.0,56,0,57,2.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,10.0
186,5,33660.0,26,0,57,2.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,3.0
187,5,33660.0,28,0,57,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,10.0
191,3,13820.0,31,0,57,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0
192,3,13820.0,25,0,57,2.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,7.0
194,1,13820.0,23,0,57,2.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,12.0
195,1,13820.0,65,0,57,2.0,0.0,3.0,1.0,7.0,5.0,0.0,1.0,6.0
196,1,26620.0,27,0,57,2.0,0.0,0.0,1.0,7.0,2.0,0.0,1.0,10.0
197,1,13820.0,53,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,4.0,4.0
201,4,26620.0,26,0,57,2.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,6.0
207,3,26620.0,22,0,57,2.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,3.0
211,2,33660.0,27,0,57,2.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0
213,3,33860.0,54,0,57,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0
214,3,33860.0,53,0,57,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,10.0
215,3,33860.0,22,0,57,2.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,3.0
216,2,26620.0,62,0,57,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,10.0
217,2,26620.0,45,0,57,2.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,10.0
218,2,33860.0,59,0,57,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0
219,2,33860.0,61,0,57,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,13.0
223,3,33860.0,58,0,217,2.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,7.0
224,3,33860.0,50,0,217,2.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,6.0
226,1,13820.0,27,0,57,2.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,12.0
227,3,13820.0,34,0,57,2.0,0.0,2.0,0.0,3.0,2.0,0.0,4.0,12.0
230,3,26620.0,40,0,57,2.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,3.0
233,2,13820.0,60,0,57,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0
234,2,13820.0,61,0,57,2.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,8.0
235,3,26620.0,71,0,57,2.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,10.0
237,3,26620.0,26,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,6.0
238,2,13820.0,34,1,303,2.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0
239,2,13820.0,32,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,3.0
240,1,33660.0,27,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,7.0
241,2,26620.0,31,0,57,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,6.0
245,1,33860.0,25,0,57,2.0,0.0,2.0,1.0,4.0,2.0,0.0,1.0,7.0
246,3,26620.0,35,0,341,2.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,3.0
247,3,26620.0,32,0,407,2.0,0.0,3.0,1.0,7.0,2.0,2.0,1.0,3.0
248,3,26620.0,42,0,78,2.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0
249,2,13820.0,55,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,12.0
250,2,13820.0,57,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,9.0
252,2,13820.0,76,0,57,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,4.0
253,2,13820.0,29,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0
254,2,13820.0,28,0,57,2.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0
255,1,13820.0,33,0,57,2.0,0.0,0.0,1.0,7.0,2.0,0.0,1.0,7.0
256,1,13820.0,62,0,57,2.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,3.0
257,4,33860.0,49,0,57,2.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,10.0
262,3,13820.0,59,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,3.0
263,3,13820.0,25,0,57,2.0,0.0,2.0,0.0,2.0,5.0,0.0,1.0,3.0
266,4,13820.0,36,0,210,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0
270,3,13820.0,68,0,57,2.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,7.0
272,3,13820.0,57,0,57,2.0,0.0,0.0,1.0,5.0,2.0,0.0,4.0,13.0
273,1,26620.0,38,0,57,2.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,11.0
277,3,13820.0,29,0,57,2.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,11.0
280,2,33660.0,38,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,10.0
281,2,33660.0,48,0,57,2.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,3.0
282,2,13820.0,57,0,57,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0
283,2,13820.0,59,0,57,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,13.0
284,2,13820.0,64,0,57,2.0,0.0,4.0,1.0,3.0,2.0,0.0,1.0,3.0
286,3,13820.0,48,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0
287,3,13820.0,45,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,13.0
288,3,13820.0,21,0,57,2.0,0.0,2.0,1.0,7.0,5.0,0.0,1.0,12.0
289,2,33660.0,57,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,7.0
290,2,33660.0,55,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0
291,6,13820.0,27,0,57,2.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,13.0
292,6,13820.0,27,0,57,2.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,13.0
297,1,13820.0,43,0,57,2.0,0.0,2.0,1.0,7.0,5.0,0.0,1.0,12.0
298,2,13820.0,49,0,57,2.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0
299,2,13820.0,44,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,7.0
301,2,13820.0,35,0,57,2.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,5.0
302,2,13820.0,36,0,57,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,10.0
303,1,33860.0,63,0,57,2.0,0.0,4.0,0.0,7.0,5.0,0.0,1.0,6.0
304,4,13820.0,34,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0
305,4,13820.0,34,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,7.0
308,3,26620.0,46,0,57,2.0,0.0,0.0,1.0,3.0,5.0,0.0,4.0,7.0
310,3,26620.0,20,0,57,2.0,0.0,2.0,1.0,3.0,5.0,0.0,1.0,12.0
312,7,13820.0,42,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,13.0
313,7,13820.0,18,0,57,2.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,3.0
314,7,13820.0,21,0,57,2.0,0.0,2.0,1.0,3.0,5.0,0.0,1.0,7.0
317,7,13820.0,24,0,57,2.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,7.0
318,1,13820.0,60,0,57,2.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,4.0
320,1,13820.0,46,0,57,2.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0
321,2,13820.0,61,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,4.0,2.0
322,2,13820.0,61,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,13.0
325,3,33860.0,30,0,57,2.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,12.0
329,3,33660.0,40,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,7.0
330,3,33660.0,41,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,9.0
332,2,13820.0,47,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,9.0
333,2,13820.0,53,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,9.0
334,2,33660.0,24,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,3.0
335,2,33660.0,27,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,12.0
336,2,13820.0,61,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,12.0
337,2,13820.0,61,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,12.0
339,2,13820.0,64,0,110,2.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,12.0
341,3,26620.0,55,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,9.0
342,3,26620.0,48,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,11.0
343,3,26620.0,19,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,12.0
344,3,33660.0,41,0,57,2.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,7.0
345,3,33660.0,39,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0
348,5,13820.0,44,1,303,2.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,8.0
356,4,13820.0,50,0,57,2.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,3.0
360,3,13820.0,26,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,2.0
361,3,13820.0,23,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,12.0
363,3,13820.0,59,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0
364,3,13820.0,57,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,9.0
366,2,13820.0,53,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,1.0,11.0
367,2,13820.0,57,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,11.0
368,3,13820.0,42,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,12.0
369,3,13820.0,37,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,7.0
371,3,13820.0,61,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,13.0
372,3,13820.0,51,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,7.0
377,1,33660.0,33,0,57,2.0,0.0,2.0,0.0,2.0,5.0,0.0,1.0,3.0
382,2,26620.0,49,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,7.0
383,4,26620.0,46,0,57,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0
384,4,26620.0,49,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0
387,5,13820.0,48,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,7.0
388,5,13820.0,42,0,57,2.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,3.0
392,2,33660.0,55,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0
393,2,33660.0,55,0,57,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,7.0
394,5,13820.0,36,0,57,2.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,10.0
395,5,13820.0,37,0,57,2.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0
399,1,13820.0,38,0,57,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,7.0
400,2,13820.0,46,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0
401,2,13820.0,44,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,8.0
404,3,33660.0,27,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,1.0,12.0
405,3,33660.0,30,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,3.0
407,2,13820.0,55,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,13.0
409,4,26620.0,35,0,57,2.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,3.0
412,4,26620.0,16,0,57,2.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,6.0
413,2,26620.0,56,0,57,2.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,3.0
414,2,26620.0,58,0,57,2.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,3.0
415,1,33860.0,55,0,57,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,4.0
416,2,13820.0,43,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,8.0
417,2,13820.0,48,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0
418,1,13820.0,54,0,57,2.0,0.0,0.0,1.0,3.0,5.0,0.0,4.0,7.0
425,5,13820.0,36,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0
426,5,13820.0,36,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,4.0
427,5,13820.0,19,0,57,2.0,0.0,2.0,1.0,3.0,5.0,0.0,1.0,6.0
428,5,13820.0,19,0,57,2.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,12.0
429,5,13820.0,19,0,57,2.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,12.0
431,1,13820.0,68,0,57,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,10.0
432,1,26620.0,29,0,57,2.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,9.0
433,2,13820.0,58,0,57,2.0,0.0,4.0,0.0,3.0,5.0,0.0,1.0,2.0
435,1,13820.0,59,0,57,2.0,0.0,2.0,1.0,7.0,5.0,0.0,4.0,12.0
436,1,33660.0,71,0,57,2.0,0.0,4.0,0.0,3.0,5.0,0.0,1.0,9.0
437,5,33660.0,56,0,57,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0
438,5,33660.0,59,0,57,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,7.0
443,2,26620.0,65,0,57,2.0,0.0,1.0,0.0,7.0,5.0,0.0,1.0,9.0
444,3,13820.0,47,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,3.0
445,3,13820.0,48,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,0.0
446,3,13820.0,18,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,3.0
447,2,13820.0,47,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0
448,2,13820.0,49,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,1.0,7.0
449,4,13820.0,34,0,57,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,12.0
452,4,13820.0,40,0,57,2.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0
455,1,33860.0,58,0,57,2.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,11.0
462,6,26620.0,34,0,57,2.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,3.0
463,6,26620.0,38,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,12.0
468,2,13820.0,54,0,57,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,4.0
469,2,13820.0,55,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0
470,3,26620.0,42,0,57,2.0,0.0,1.0,1.0,5.0,5.0,0.0,1.0,2.0
474,1,13820.0,49,0,57,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,11.0
475,4,13820.0,39,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0
476,4,13820.0,38,0,57,2.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,3.0
480,3,33660.0,55,0,57,2.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,2.0
481,3,33660.0,49,0,57,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0
483,3,13820.0,48,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,2.0
484,3,13820.0,48,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,4.0
486,5,13820.0,37,0,57,2.0,0.0,3.0,0.0,7.0,5.0,0.0,4.0,10.0
488,5,13820.0,61,0,57,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,13.0
489,5,13820.0,40,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,13.0
491,6,33860.0,36,0,57,2.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,10.0
497,2,13820.0,44,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,11.0
501,2,33860.0,70,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,1.0,10.0
502,2,33860.0,63,1,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,10.0
503,2,13820.0,48,0,57,2.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0
505,2,33860.0,28,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,9.0
506,2,33860.0,46,0,57,2.0,0.0,1.0,0.0,3.0,5.0,0.0,1.0,2.0
512,2,13820.0,25,0,57,2.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,12.0
513,2,13820.0,30,0,57,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,12.0
514,6,13820.0,33,0,57,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0
519,6,13820.0,40,0,57,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0
